"titre","status","ads_d_appartenance","lien_ticket_jira","s__v__rit___dp_roc","bloc","version_corrective_111","sprint_de_correction_1","description_du_bug","version_de_roc"
"[MOE] une erreur 500 sur l'engagement d'un spécialiste","En cours de résolution et de qualification","DP ROC","ROC-3314","Mineur","Candidature","V9.4.0","Sprint V9.4","Titre : [MOE] une erreur 500 sur l'engagement d'un spécialiste

Configuration : V9.3.1

 

 

URL :  [https://front-dr.integration.roc.fr.capgemini.com/interne/admin/gestion-engagement/designation-specialiste]

 

Descriptif :

Lorsque je clique dans l'engagement d'un spécialiste , je clique sur un volontaire et je mets le mail ensuite je clique sur Valider.

Résultat attendu :

Un mail est envoyé sans message d'erreur.

Résultat obtenu :

une erreur 500.

 

 

!image-2026-03-02-17-26-58-541.png!

[https://front-dr.integration.roc.fr.capgemini.com/_profiler/bc6568]

 

 

 

 

 ","V9.4.0"
"[MOE][Volontariat] Tableau Suivi des volontaires et candidats_AF/A_ADS/ADR_Bouton Export ko SI FILTRE","En cours de résolution et de qualification","DP ROC","ROC-3313","Bloquant","Candidature","V9.4.0","Sprint V9.4"," 

je suis connectée en tant qi'AF, et je suis sru le tableau de ""Suivi des volontaires et des candidats"". Je fais une recherche avec 2 filtres (TER et Weekend) et je clique sur Rechercher

Si je clique sur le bouton Export, j'ai l'erreur suivante : 

!image-2026-03-02-17-24-45-368.png!

 

remarque je n'ai pas d'erreur d'export si je n'applique pas de filtre 

 

Vu avec Antonin , j'ai une erreur dans le Profiler

 

https://front-dr.integration.roc.fr.capgemini.com/interne/suivi-volontaires-candidats/totaux?couleurUniforme%5B%5D=302&age=16-72&periodesDisponibilite%5B%5D=2&candidature=&nbJoursDispo=

 

!image-2026-03-05-15-10-34-353.png!","V9.4.0"
"[MOE] erreur 500 sur le bouton VIP de l'engagement","En cours de résolution et de qualification","DP ROC","ROC-3312","Mineur","Candidature","V9.4.0","Sprint V9.4","Titre : [MOE] erreur 500 sur le bouton VIP

Configuration : V9.3.1

 

URL :   [https://front-dr.integration.roc.fr.capgemini.com/interne/modifier-candidat/295351/vip]

 

Descriptif :

Sur l'engagement, sur le processus d'engagement d'un volontaire, je souhaite le mettre en VIP en cliquant sur bouton radio VIP de la colonne de gauche.

Résultat attendu :

Le volontaire est passé en ""VIP""

Résultat obtenu :

erreur 500

 

!image-2026-03-02-17-10-18-466.png!

 

[https://front-dr.integration.roc.fr.capgemini.com/_profiler/3633ac]

 

 

 ","V9.4.0"
"[MOE][Volontariat] Tableau Vivier des volontaires_REF/PIL_Bouton Export ko si filtres","En cours de résolution et de qualification","DP ROC","ROC-3311","Bloquant","Candidature","V9.4.0","Sprint V9.4","Je suis connecté en tant que REF et suis dans le bloc Vivier des volontaires.

Quand je clique sur le bouton Export après avoir appliqué des filtres sinon pas d'erreur

!image-2026-03-02-17-13-03-245.png!

j'ai cette page  !image-2026-03-02-17-12-05-838.png!","V9.4.0"
"[MOE][Données perso candidat] Bouton Retour en erreur profil REF/PIL/A_ADS/ADR","En cours de résolution et de qualification","DP ROC","ROC-3310","Mineur","Candidature","V9.4.0","Sprint V9.5","En tant que REF je vais sur le bloc Vivier des volontaires. Je fais une recherche et clique sur un volontaire, j'arrive sur sa page d'engagement. 

Je clique sur l'incoe ""crayon"" pour arriver sur ses données perso.

Quand je clique sur le bouton Retour,

!image-2026-03-02-16-50-37-508.png!

j'ai une erreur

!image-2026-03-02-16-51-17-933.png!","V9.4.0"
"Dépassement de mémoire sur le front NP PICSEL prerelease en 9.3.1","En cours de résolution et de qualification","DP ROC","ROC-3309","Majeur","","V9.4.1","Sprint V9.5","Suite déploiement de la 9.3.1 sur PICSEL, nous avons des erreurs de type ""allowed memory size exhausted"" toutes les 5 minutes sur le front NP PICSEL pre-release comme suit.

Cette erreur est bloquante car bloque l'affichage de la page d'accueil (écran blanc).

 

[2026-03-02 16:20:03] php.CRITICAL: Fatal Error: Allowed memory size of 1073741824 bytes exhausted (tried to allocate 262144 bytes)

{""exception"":""[object] (Symfony\\\\Component\\\\ErrorHandler\\\\Error\\\\OutOfMemoryError(code: 0): *Error: Allowed memory size of 1073741824 bytes exhausted* (tried to allocate 262144 bytes) at /var/www/html/roc-front/var/cache/prod/Container6TkCGrV/App_KernelProdContainer.php:8710)""}

[2026-03-02 16:25:14] php.CRITICAL: Fatal Error: Allowed memory size of 1073741824 bytes exhausted (tried to allocate 262144 bytes)

{""exception"":""[object] (Symfony\\\\Component\\\\ErrorHandler\\\\Error\\\\OutOfMemoryError(code: 0): *Error: Allowed memory size of 1073741824 bytes exhausted* (tried to allocate 262144 bytes) at /var/www/html/roc-front/var/cache/prod/Container6TkCGrV/App_KernelProdContainer.php:8710)""}

[2026-03-02 16:30:04] php.CRITICAL: Fatal Error: Allowed memory size of 1073741824 bytes exhausted (tried to allocate 262144 bytes)

{""exception"":""[object] (Symfony\\\\Component\\\\ErrorHandler\\\\Error\\\\OutOfMemoryError(code: 0): *Error: Allowed memory size of 1073741824 bytes exhausted* (tried to allocate 262144 bytes) at /var/www/html/roc-front/var/cache/prod/Container6TkCGrV/App_KernelProdContainer.php:8710)""}

A noter que des vidages de cache avec la commande cache:clear comme suit revèle l'existence d'un répertoire ""pro_"" ! :

 

{color:#000000}[sysadm@FRONTNP1PNT147V roc-front]$  sudo -u apache php bin/console cache:clear{color}

 

{color:#000000} // Clearing the cache for the prod environment with debug false{color}

{color:#000000}PHP Fatal error:  Allowed memory size of 1073741824 bytes exhausted (tried to allocate 262144 bytes) in /var/www/html/roc-front/var/cache/pro_/ContainerBymTfHy/App_KernelProdContainer.php on line 8710{color}

{color:#000000}PHP Fatal error:  Allowed memory size of 1073741824 bytes exhausted (tried to allocate 262144 bytes) in /var/www/html/roc-front/vendor/composer/ClassLoader.php on line 425{color}

 

 ","V9.3.1"
"[MOE][Processus engagement] Bouton Retour va une étape après et non retour arrière profil AF","En cours de résolution et de qualification","DP ROC","ROC-3308","Mineur","Candidature","V9.4.0","Sprint V9.5","En tant qu'AF si je vais sur Suivi des volontaires et candidats puis je clique sur un candidat j'arrive sur sa page Processus d'engagement

!image-2026-03-02-16-29-21-957.png!

Quand je clique sur Retour je suis dirigée vers les données du candidat au lieu de revenir sur le tableau du Suivi des candidatures","V9.4.0"
"[MOE][Processus Engagement] suivi des volontaires et des candidats_Filtres KO ","En cours de résolution et de qualification","DP ROC","ROC-3304","Majeur","Candidature","V9.4.0","Sprint V9.4","En tant qu'AF je suis sur le bloc ""Suivi des volontaires et des candidats"" et je teste toutes les valeurs du filtre niveau d'étude or quand je clique sur Rechercher aucun résultat n'apparait alors que sans filtre j'ai 47 lignes","V9.3.1"
"[MOE][Processus Engagement] La page processus d'engagement du candidat est en erreur","En cours de résolution et de qualification","DP ROC","ROC-3303","Bloquant","Candidature","V9.4.0","Sprint V9.4","En tant qu'AF je clique sur le bloc Suivi des candidatures et des candidats, je filtre sur TER puis je sélectionne un candidat qui est positionné sur une offre.

Je devrais arriver sur sa page [Processus d'engagement - Réservistes des armées|https://front-dr.isoprod.roc.fr.capgemini.com/interne/engager/engagement/processus-candidature/256956] [https://front-dr.isoprod.roc.fr.capgemini.com/interne/engager/engagement/processus-candidature/256956]

OR j'ai une erreur  !image-2026-03-02-15-22-38-502.png!","V9.3.1"
"[MOE] une erreur est survenue sur un refus dans le bloc ""contrôle dossier""","En cours de résolution et de qualification","DP ROC","ROC-3302","Majeur","Candidature","V9.4.0","Sprint V9.4","Titre : [MOE] une erreur est survenue sur un refus dans le bloc ""contrôle dossier""

Configuration : V9.3.1

 

URL :   [https://front-dr.integration.roc.fr.capgemini.com/interne/processus-candidature/candidature/296438/etape/controle-dossier]

 

Descriptif :

Lorsque l'AF est sur l'engagement et souhaite faire un refus sur le contrôle de dossier d'un volontaire, au clique sur le bouton valider 

Résultat attendu :

Le processus d'engagement se termine

Résultat obtenu :

un message apparait ""une erreur est survenue""

 

 

!image-2026-03-02-15-06-31-881.png!","V9.4.0"
"[MOE][Activités] Clic sur Activités modèle KO","En cours de résolution et de qualification","DP ROC","ROC-3299","Bloquant","Activités","V9.4.0","Sprint V9.4","En tant qu'AF, après avoir créé une activité prio RO1 en tant que modèle, si je clique sur le modèle, j'ai une erreur :

!image-2026-03-02-11-34-32-940.png!

 

!image-2026-03-02-11-31-58-020.png!

!image-2026-03-02-11-32-35-685.png!","V9.4.0"
"[MOE][Activités] Créé activité RO1 - Etape 3 - Nbr réservistes concerné en erreur","En cours de résolution et de qualification","DP ROC","ROC-3298","Mineur","Activités","V9.4.1","Sprint V9.5","En tant qu'AF quand je suis à l'étape 3 de la création d'une activité réseviste RO1 [(Je crée une activité - Réservistes des armées|https://front-dr.integration.roc.fr.capgemini.com/interne/activites/creer/reservistes/2091707]), le champs Nombre de réservistes concerné est en erreur

!image-2026-03-02-11-16-52-287.png!","V9.4.0"
"[MOE] erreur 500 à la connexion avec l'AT","En cours de résolution et de qualification","DP ROC","ROC-3296","Bloquant","Connexion","V9.4.0","Sprint V9.4","Titre : [MOE] erreur 500 à la connexion avec l'AT

Configuration : V9.3.0

Identifiant :  Login : admin_technique

 

URL :   [https://front-dr.integration.roc.fr.capgemini.com/interne/AT/login]

Descriptif :

Impossible de se connecter via MDC et connexion ROC avec l'administrateur technique

Résultat attendu :

Connexion OK

Résultat obtenu :

Erreur 500, login fail

 

 

!image-2026-03-02-10-33-38-662.png!

 

 

!image-2026-03-02-10-34-14-221.png!

 

 

[https://front-dr.integration.roc.fr.capgemini.com/_profiler/540709?panel=request]

 

 ","V9.4.0"
"[MOE][Activités] AF Activités en cours de création KO","En cours de résolution et de qualification","DP ROC","ROC-3295","Bloquant","Activités","V9.4.0","Sprint V9.4","Env INTEGRATION :  En tant qu'AF, quand je clique sur Activités/Activités en cours de création, j'ai un bug  

!image-2026-03-02-10-31-11-626.png!

!image-2026-03-02-10-31-45-666.png!","V9.3.1"
"[MOE] [Volontariat] Motif d'alerte modifiable alors qu'il ne devrait pas","En cours de résolution et de qualification","DP ROC","ROC-3291","Mineur","Volontariat","V9.4.0","Sprint V9.4","Le solution apportée dans le ticket ROC-3146 ne visait qu'à solutionner le bloc ""Entretien en unité"", ce ticket a pour but de faire une correction sur l'ensemble des blocs de volontariat affecté par cette anomalie.","V9.4.0"
"[Volontariat]impossible de valider l'ESR sur nouvelle fiches de poste","En cours de résolution et de qualification","DP ROC","ROC-3289","Bloquant","Volontariat","V9.4.0","Sprint V9.4","{+}*Titre :*{+}[Volontariat]impossible de valider l'ESR sur nouvelle fiches de poste

*+Configuration:+*

PPROD v8.3.5

+*Rôle:*+ delREF: 13815_utilisateur

 
{+}*URL :*{+}[https://pprod-reservistes.intradef.gouv.fr/interne/processus-candidature/candidature/288606/etape/creation-esr/creation|https://roc-front-dr-rel.picsel.defense.gouv.fr/interne/mon-compte/mes-droits]

 

*+Descriptif :+*

cas présent uniquement sur les nouvelles fiche de poste que ce soit pour un nouveau candidat ou déjà présent dans la base

en tant que delREF je sélectionne mon candidat qui a choisit une fiche de poste qu'il vient de créer et qui a fait tout le parcours , toute les cases sont verte, reste a faire la ""création de l'ESR""

je clique sur création de l'ESR

je remplit le formulaire

je clique sur valider

 
 

+*Résultat obtenue:*+

Une erreur est survenue 

 

*+Résultat attendu:+*
passage a la deuxième étape de la génération de l'ESR
 
*+information supplémentaires:+*
ce cas précis n'a pas pu être jouée en PPROD car il implique la création d'une fiche de poste donc envoi de mail bloqué a ce moment
 
cas fonctionnel en 8.3.3","V8.3.5"
"[Activité]modification date pas prise en compte","En cours de résolution et de qualification","DP ROC","ROC-3286","Majeur","Activités","","Sprint V9.5","*Titre* : [Activité]modification date pas prise en compte

*Configuration* : PPROD V8.3.5

*Identifiant* :

delREF: 13815_utilisateur

 

 


*Descriptif* :
en tant que defREF
je me connecte a mon compte
je clique sur le bloque fonctionnel ""Activité""
je sélectionne l'onglet ""a clôturer""

je sélectionne une activité

je modifie la date de début en commençant un jour plus tôt (ex: 04/02 au 06/02 au lieu de 05/02 au 06/02
je clique sur enregistrer afin que la modification soit bien pris en compte

je clique sur valider

dans le menu je clique sur ""Activité"" puis sur ""A signer""

je recherche l'activité

*dans le tableau la date de début n'est pas modifié, elle est toujours au 05/02*

je clique sur l'activité

dans le tableau je vois bien que les date ont été modifié

je me connecte en tant qu'ATS

j'ouvre l'ENARO de l’activité en question

les données sont correcte

l'ATS valide et signe

je me connecte en tant que delREF

dans le menu je clique sur ""Activité"" puis sur ""Activité passées""

*dans le tableau la date de début n'est pas modifié, elle est toujours au 05/02*

j'ouvre l'activité

*dans ""Durée"" l'activité est noté du 05/02 au 06/02 au lieu du 04/02 au 06/02*

j'ouvre l'ENARO de l’activité en question

les données sont correcte

je me connecte en tant que RO1

je vais dans mes activité passées

je recherche l'activité

l'activité est noté du 05/02 au 06/02 au lieu du 04/02 au 06/02

j'ouvre l'activité 

une cartouche ""Service fait refusé"" est présente *( normal?)*

*dans ""Durée"" l'activité est noté du 05/02 au 06/02 au lieu du 04/02 au 06/02*

je télécharge l'ordre de convocation

*l'activité est noté du 05/02 au 06/02 au lieu du 04/02 au 06/02*

je clique sur le calendrier

*l'activité est noté du 05/02 au 06/02 au lieu du 04/02 au 06/02*

 ","V8.3.5"
"[Calendrier] création /affichage Indisponibilité","En cours de résolution et de qualification","DP ROC","ROC-3282","Majeur","Calendrier","","Sprint V9.5","*Titre* : [Calendrier] création /affichage Indisponibilité

*Configuration* : PPROD V8.3.5

*Identifiant* :

RO1: 244318_reserviste

*URL* :  [https://pprod-reservistes.cloud.defense.gouv.fr/reserviste/calendrier]

 

la vidéo sera plus parlante je pense

 
{*}Descriptif partie 1{*}:
en tant que RO1
je me connecte a mon compte
je clique sur ""calendrier""
je créé une indisponibilité pour le 04/05
je créé une disponibilité le 05/05
je créé une indisponibilité le 06/05


*Résultat obtenu* :

dans le calendrier je dois voir:

un rond rouge sur le 04/05

un rond vert sur le 05/05

un rond vert sur le 06/05

 

*Résultat attendu* :

dans le calendrier je dois voir:

un rond rouge sur le 04/05

un rond vert sur le 05/05

un rond rouge sur le 06/05

 
{*}Descriptif partie 2{*}:
après avoir mit mes dispo et indispo
je clique sur ""Accueil""
je reviens sur mon calendrier


*Résultat obtenu* :

les cartouche qui été déjà fausse le sont encore plus

rouge/vert/vert  (déjà fausse ça devrait être rouge/vert/rouge)

devient rouge/rouge/vert

 

*Résultat attendu* :

rouge/vert/rouge

 
 ","V8.3.5"
"[MOE] le champ ne respecte pas le fait qu'on puisse avoir plus de 255 caractères","En cours de résolution et de qualification","DP ROC","ROC-3280","Majeur","Candidature","V9.4.0","Sprint V9.4"," 

!image-2026-02-25-15-53-52-988.png!

 

 

on remonte la donnée dans le formulaire de l'ESR et quand on enregistre l'ESR, son champ contrat_esr_emploi a une limite à 255 caractères","V9.3.1"
"PB erreur fatale PHP","En cours de résolution et de qualification","DP ROC","ROC-3276","Majeur","","V9.4.0","Sprint V9.5","Plusieurs erreurs fatales apparaissent dans les logs de la PPROD (Pb de mémoire allouée): 

Erreur fatale :

[2026-02-24T00:05:04.889065+01:00] php.CRITICAL: Fatal Error: Allowed memory size of 1073741824 bytes exhausted (tried to allocate 8192 bytes) \\{""exception"":""[object] (Symfony\\\\Component\\\\ErrorHandler\\\\Error\\\\OutOfMemoryError(code: 0): Error: Allowed memory size of 1073741824 bytes exhausted (tried to allocate 8192 bytes) at /var/www/html/roc-back/vendor/doctrine/orm/src/Mapping/PropertyAccessors/RawValuePropertyAccessor.php:56)""} []

ou encore

[2026-02-24 23:40:22] php.CRITICAL: Fatal Error: Allowed memory size of 1073741824 bytes exhausted (tried to allocate 2621440 bytes) \\{""exception"":""[object] (Symfony\\\\Component\\\\ErrorHandler\\\\Error\\\\OutOfMemoryError(code: 0): Error: Allowed memory size of 1073741824 bytes exhausted (tried to allocate 2621440 bytes) at /var/www/html/roc-back/vendor/phpoffice/phpspreadsheet/src/PhpSpreadsheet/Writer/Xlsx/StringTable.php:48)""}

 ","V8.3.4"
"[Activités] Erreur de génération de PDF - onglet ""A convoquer""","En cours de résolution et de qualification","DP ROC","ROC-3271","Mineur","Activités","V9.4.0","Sprint V9.4","*URL* : [https://front-dr.dev.roc.local/interne/activites/designer/detail/2364805]

*Identifiants / rôle* : 19213 / Référent

*Descriptif* :

Avec le profil référent, cliquer sur le bloc Activité, puis ""A convoquer"", choisir une activité et cliquer sur le bouton Convoquer pour envoyer une convocation multiple à tous les participants.

*Résultat obtenu* : Il ne se passe rien.

!image-2026-02-20-14-15-46-483.png|width=682,height=333!

*Erreur obtenue suite à l'action* :

!image-2026-02-20-14-18-02-930.png|width=705,height=366!

*Lié au twig* :

!image-2026-02-20-14-18-56-921.png|width=782,height=420!","V9.3.0"
"[MOE] manque le fil d'ariane sur ROC DR","En cours de résolution et de qualification","DP ROC","ROC-3259","Mineur","","V9.4.0","Sprint V9.4","Titre : [MOE] manque le fil d'ariane sur ROC DR

 

Configuration : Recette V9.3.0  et Integration V9.3.0

 

Descriptif :

Lors de la navigation sur le front DR sur les pages engagement et autres, il manque le fil d'ariane.

Vu avec Arnaud, le code a été commenté pour le fil d'ariane.

[https://frrns-ci-gitlab01.corp.capgemini.com/rocpr35/roc-front/-/commit/b737e53ce2af0fa968e7e08b5a4…|https://frrns-ci-gitlab01.corp.capgemini.com/rocpr35/roc-front/-/commit/b737e53ce2af0fa968e7e08b5a4a59530e0a6763?page=2#1c09d9020d50cde39ef23519b533324d11034221]

 

Résultat attendu :

il ne manque pas le fil d'ariane.

 

Résultat obtenu :

il manque le fil d'ariane.

 

!image-2026-02-19-10-35-59-395.png!

 

!image-2026-02-19-10-36-56-356.png!

 ","V9.3.0"
"[AT] Pouvoir modifier le corps et le grade","En cours de résolution et de qualification","DP ROC","ROC-3243","Mineur","","V9.3.1","Sprint V9.4","Dans le formulaire de modification des données personnes, il manque le corps et le grade dans les champs possible. 

*Action:* Pourvoir modifier le corps et le grade et de l'administrateur technique ","V9.3.0"
"[Données Perso] La modification de l'adresse mail + numéro de téléphone d'un réserviste entraine une erreur navigateur","En cours de résolution et de qualification","DP ROC","ROC-3237","Majeur","Perso","V9.4.0","Sprint V9.4","PICSEL V8.3.3 DR

Connecté au 4512
 * Cliquer sur gestion des utilisateurs
 * Rechercher l'utilisateur 18634_utilisateur
 * Cliquer sur ce profil
 * Modifier son adresse mail : passer de [18634_utilisateur.roc@getnada.com|mailto:18634_utilisateur.roc@getnada.com] à [18634_utilisateur.roc@|mailto:18634_utilisateur.roc@getnada.com]intradef.gouv.fr 
 * Modifier le numéro de téléphone en mettant un 06XXX au hasard 
 * Cliquer sur valider 

Résultat attendu : les modifications s'enregistrent et on est rebasculés sur l'écran de gestion des utilisateurs avec message de succès

Résultat obtenu : erreur navigateur (voir PJ) 

 

Note : Je mets en PJ la console quand je fais F12, j'ai un peu insisté sur la validation ce qui explique le nombre d'erreur (j'ai appuyé à de nombreuses reprises sur Valider)","V8.3.3"
"[Connexion]-problème de connexion avec l'ADR","En cours de résolution et de qualification","DP ROC","ROC-3235","Majeur","Connexion","V9.4.0","Sprint V9.3","Lors de la connexion avec un ADR, la connexion est refusée pour raison de time out.

Lors de la requête de connexion, 3 patchs sur la route utilisateurs sont réalisés. Le dernier inclue dans le body de la requête :
 
{{""body"" => ""{""objet"":""\\{\\""utilisateur_id\\"":10446,\\""autorite_unites\\"":[{\\""ref_unite_id\\"":4584},\\{\\""ref_unite_id\\"":4585},\\{\\""ref_unite_id\\"":4613},\\{\\""ref_unite_id\\"":4615},\\{\\""ref_unite_id\\"":4617}...}}

Avec autour de 720 ref_unite_id.

De cela en résulte un nombre de requête doctrine important (environs 800) ce qui fait atteindre ce seuil de 30 secondes pour le time out.

Attendu : L'utilisateur ADR doit pouvoir se connecter sans timeout.","V9.3.0"
"[MOE][Contrat] Template  ESR pour SSA Spécialiste problème syntaxique ","En cours de résolution et de qualification","DP ROC","ROC-3234","Mineur","Contrat","V9.3.0","Sprint V9.3","Erreur de placement du texte "", pour la fonction de"" qui est aussi en double.

J'ai mis un point rouge là où il doit être placé cf l'US [ROC-2943] [Contrat] Afficher l'adresse intradef de l'ATM et pouvoir annuler la demande - Jira CI

!image-2026-02-12-17-34-27-997.png!

Corriger aussi pour le template ESR d'un réserviste SSA Droit commun","V9.3.0"
"[MOE][Contrat] En cours de renouvellement Erreur sur clic de la ligne","En cours de résolution et de qualification","DP ROC","ROC-3232","Bloquant","Contrat","V9.4.0","Sprint V9.4","Erreur quand je clique en tant qu'ADR : 5601_utilisateur sur un contrat en cour de renouvellement

[https://front-dr.integration.roc.fr.capgemini.com/interne/mes-contrats/reserviste/190899]

[https://front-dr.integration.roc.fr.capgemini.com/_profiler/efbd5b?panel=logger]

!image-2026-02-12-16-01-17-343.png!

!image-2026-02-12-16-00-41-461.png!

!image-2026-02-12-16-00-19-416.png!","V9.3.0"
"[MOE][ANO] Bloc en trop ""Questions Générales"" sur l'accueil du volontaire","En cours de résolution et de qualification","DP ROC","ROC-3231","Mineur","Candidature","V9.3.0","Sprint V9.3","Titre : [MOE][ANO] Bloc en trop ""Questions Générales"" sur l'accueil du volontaire

Configuration : Integration V9.3.0

Identifiant :

 

Descriptif :

Suite au parcours de volontariat et aux informations complémentaires,je suis redirigé sur l'accueil avec 3 blocs au lieu de 2.

Résultat attendu :

2 Blocs fonctionnel - Données personnelles et Engagement.

Résultat obtenu :

3 Blocs fonctionnel - Données personnelles , Questions Générales et Engagement.","V9.3.0"
"[ROC] PB envoi message suite pb pdf contrat_esr","Corrigé en production","DP ROC","ROC-3229","Majeur","Contrat","V8.3.4","Sprint V9.3","Bonjour,

Suite aux pb de messagerie rencontrés, nous avons réalisé une investigation sur l'environnement de PPROD et sur celui de qualification.

La même erreur revient très souvent :

2026-02-11 17:08:03] app.CRITICAL: [MailHandler] Impossible d'envoyer l'email a l'adresse '174570_candidat.roc@getnada.com' : Handling ""Symfony\\Component\\Mailer\\Messenger\\SendEmailMessage"" failed: Unable to open path ""/var/www/html/roc-back/var/cache/contrat_esr_axxxxxx_cxxxxxx.pdf"".

Sur conseils de Mr Lime nous avons vérifié :
 * les droits et permissions sur /var/www/html/roc-back/var/cache : OK
 * L’utilisateur avec lequel sont lancés les crons, et particulièrement celui envoyant les courriels : OK.

Par contre nous avons vu que ces fichiers doivent s'enregistrer sur 

/var/www/html/roc-back/var/cache/PROD/contrat_esr_axxxxxx_cxxxxxx.pdf 

et non 

/var/www/html/roc-back/var/cache/contrat_esr_axxxxxx_cxxxxxx.pdf","V8.3.2"
"[MOE][Volontariat] Validation données personnelles d'un nouveau volontaire en erreur","En cours de résolution et de qualification","DP ROC","ROC-3228","Bloquant","Volontariat","V9.3.0","Sprint V9.3","BUG env INT : a la validation des données personnelles à la création d'un new volontaire et.roc@getnada.com

[(403 Forbidden)|https://front-np.integration.roc.fr.capgemini.com/candidat/modifier-donnees]

!image-2026-02-12-12-33-40-788.png!","V9.3.0"
"[MOE] Le bloc fonctionnel ""Communication"" n'est plus disponible","En cours de résolution et de qualification","DP ROC","ROC-3227","Bloquant","Communication","V9.3.0","Sprint V9.3","Titre :[MOE] Le bloc fonctionnel ""Communication"" n'est plus disponible

Configuration : Integration V9.3.0

 

Descriptif :

Lorsque je me connecte avec un AO, Del AO,  REF, PIL, ADR le bloque fonctionnel ""Communication"" n'est plus disponible, pour l'AF le Bloc Communication est disponible, j'ai regardé dans le paramètrage fonctionnel mais rien pour activer le bloc

Résultat  :

Bloc Fonctionnel ""Communication"" apparait.

Résultat obtenu :attendu

Pas de bloc Fonctionnel ""Communication"" n'apparait pas

 

!image-2026-02-12-10-59-00-697.png!","V9.3.0"
"[CRON] Import RO1 en doublon flux ROx rénové","En cours de résolution et de qualification","DP ROC","ROC-3223","Majeur","Flux","","Sprint V9.5","Malgré les problématiques rencontrées, nous avons réalisé un test d'import sur l'environnement de qualification pour pouvoir avancer sur le dossier.

Afin de vérifier si quelques RO1 étaient traités ou non, j'ai réalisé un export RO1 et vérifié quelques noms : certains RO1 présents dans le flux ont été intégrés dans ROC mais visiblement 2 fois une fois hier et une fois aujourd'hui. Il y aurait dû y avoir une vérification sur ce personnel pour ne pas réaliser 2 fois son import en BDD.

Comportement observé

le personnel a été importé 2 fois en BDD

Comportement attendu

Seules les infos mises à jour auraient dû être intégrées dans le fichier et non pas l'import 2 fois du même personnel.

 ","V8.3.2"
"[Unité]- Absence d'ordonnencement dans les grades ","En cours de résolution et de qualification","DP ROC","ROC-3217","Mineur","Unités","V9.3.0","Sprint V9.3","Se connecter sur la PPROD avec un AF REF PIL AO DEL REF https://pprod-reservistes.intradef.gouv.fr/interne/unite/document

4512_utilisateur , 1309_utilisateur
 # se connecter avec l'AF ou le REF
 # Aller dans le menu gestion
 # choisir information de l'unité
 # Ouvrir le référentiel sur le grade.
 # Résultat attendu : les grades doivent être classées par couleur d'uniforme ou service
 # Résultat obtenu : grades en désordre et non classées","V8.3.2"
"[Volontariat] Manque poste dans export candidatures","En cours de résolution et de qualification","DP ROC","ROC-3207","Mineur","Volontariat","V9.3.0","Sprint V9.3","Titre : [Volontariat] Manque candidat et poste dans export candidatures
Configuration : Qualif V8.3.2 – DR
Identifiant :
Référent HIA Sainte Anne : 6169_utilisateur
Candidat : 0502_candidat
URL : [https://qualif-reservistes-c1dr.intradef.gouv.fr/interne/processus-engagement]
Descriptif :
En tant que référent de l’HIA Sainte Anne,
Je fais un suivi des candidatures de mon unité en exportant les candidats depuis le processus engagement

Résultat attendu :
L’ensemble des candidats doivent être présents.
L’intitulé du poste doit être précisé dans la colonne dédiée du tableau


Résultat obtenu :
La colonne « intitulé poste » est vide","V8.3.2"
"[Activité] AF- ne peut plus valider de convocation si il ne l'a pas créé","Corrigé en production","DP ROC","ROC-3175","Majeur","Activités","V8.3.3","Sprint V9.3","Titre : [Activité] AF- ne peut plus valider de convocation si il ne l'a pas créé
Configuration : Qualif V8.3.2 – DR
Identifiant :
AF: 13815_utilisateur
URL :[ |https://qualif-reservistes-c1dr.intradef.gouv.fr/interne/activites/designer/liste] [https://qualif-reservistes-c1dr.intradef.gouv.fr/interne/activites/designer/liste]


*Descriptif :*
En tant qu’AF
je souhaite valider la convocation d'une activité recentrement créé par le REF et le RO1 est bien inscrit

je clique sur le bloc fonctionnel ""Activité""

dans l'onglet ""A convoquer"" je sélectionne l'activité créé

je clique sur ""convoquer""

puis sur ""oui""

redirection vers les activité a convoquer et message de succès

 

*Résultat attendu :*

l'activité n'est plus visible dans l’onglet "" a convoquer"" mais dans "" a conduire""


{*}Résultat obtenu :{*}l'activité est toujours présente dans l'onglet"" a convoquer""

*Information supplémentaires:*

{color:#00875a}création activité par AF–> inscription RO1–> convocation–> OK{color}

{color:#de350b}activité classique présente dans ""a convoquer"" avec un RO1 inscrit date de fin et d'inscription non dépasse avec un contrat valide --> convocation–> KO{color}","V8.3.2"
"[Volontariat] Pas d’accès au suivi des volontaires et candidats pour le délégataire AADS","Corrigé en production","DP ROC","ROC-3174","Majeur","Volontariat","V8.3.3","Sprint V9.3","Titre : [Volontariat] Pas d’accès au suivi des volontaires et candidats pour le délégataire AADS
Configuration : Qualif V8.3.2 – DR
Identifiant :
ADS SSA : 15867_utilisateur
Del AADS : 6302_utilisateur
URL : [https://qualif-reservistes-c1dr.intradef.gouv.fr/interne/accueil-choix-bloc]
Descriptif :
En tant qu’ADS SSA
Je donne délégation de mes droits avec accès au suivi des volontaires,

Résultat attendu :
Le délégataire a accès au suivi des volontaires et candidats
Résultat obtenu :
Le délégataire n’a pas accès à la tuile « suivi des volontaires »","V8.3.2"
